case_id,size_group,tradeoff,nodes,algorithm,execution_time_s,found,states_visited,total_cost,path
G14,large,True,15,Brute Force,10.34094909997657,True,31094622,169,"['A', 'N01', 'N13', 'T']"
G14,large,True,15,Backtracking,0.0014481000252999365,True,3875,169,"['A', 'N01', 'N13', 'T']"
G14,large,True,15,Branch and Bound,0.0008491000044159591,True,601,169,"['A', 'ship', 'N01', 'road', 'N13', 'road', 'T']"
G14,large,True,15,A_star,0.0001275999820791185,True,6,169,"['A', 'N01', 'N13', 'T']"
G15,large,True,15,Brute Force,14.036051999952178,True,42870374,176,"['A', 'N01', 'N03', 'N13', 'T']"
G15,large,True,15,Backtracking,0.0020756000303663313,True,4943,176,"['A', 'N01', 'N03', 'N13', 'T']"
G15,large,True,15,Branch and Bound,0.0009802000131458044,True,813,176,"['A', 'road', 'N01', 'road', 'N03', 'road', 'N13', 'ship', 'T']"
G15,large,True,15,A_star,0.00015799998072907329,True,6,176,"['A', 'N01', 'N03', 'N13', 'T']"
G16,large,True,17,Backtracking,0.0028023000340908766,True,6969,61,"['A', 'N01', 'T']"
G16,large,True,17,Branch and Bound,0.0011057000374421477,True,503,61,"['A', 'road', 'N01', 'road', 'T']"
G16,large,True,17,A_star,0.00028659997042268515,True,3,61,"['A', 'N01', 'T']"
G17,large,True,17,Backtracking,0.0014931000187061727,True,2134,134,"['A', 'N06', 'N07', 'T']"
G17,large,True,17,Branch and Bound,0.000796399952378124,True,448,134,"['A', 'road', 'N06', 'road', 'N07', 'water', 'T']"
G17,large,True,17,A_star,0.00017339998157694936,True,8,134,"['A', 'N06', 'N07', 'T']"
G18,large,True,17,Backtracking,0.0035304000484757125,True,5200,34,"['A', 'T']"
G18,large,True,17,Branch and Bound,0.0020438999636098742,True,1267,34,"['A', 'road', 'T']"
G18,large,True,17,A_star,0.00012430001515895128,True,2,34,"['A', 'T']"
G19,large,True,17,Backtracking,0.003272300004027784,True,4666,127,"['A', 'N05', 'T']"
G19,large,True,17,Branch and Bound,0.0010813000262714922,True,643,127,"['A', 'water', 'N05', 'road', 'T']"
G19,large,True,17,A_star,0.00016439997125416994,True,9,127,"['A', 'N05', 'T']"
G20,large,True,17,Backtracking,0.0027212999993935227,True,4171,25,"['A', 'N01', 'T']"
G20,large,True,17,Branch and Bound,0.0011026000138372183,True,730,25,"['A', 'road', 'N01', 'road', 'T']"
G20,large,True,17,A_star,0.0002471000188961625,True,3,25,"['A', 'N01', 'T']"
